Episode,Iteration,Action,Done,Reward,CumulativeReward,PrevLocationX,PrevLocationY,NewLocationX,NewLocationY
1,1,up,False,0.0,0,0,1,0,2
1,2,left,False,0.0,0,0,2,0,2
1,3,up,False,0.0,0,0,2,0,3
1,4,down,True,0.0,0,0,3,1,3
2,1,up,False,0.0,0,0,1,0,0
2,2,right,False,0.0,0,0,0,1,0
2,3,right,False,0.0,0,1,0,0,0
2,4,left,False,0.0,0,0,0,1,0
2,5,down,True,0.0,0,1,0,1,1
3,1,right,False,0.0,0,0,1,0,1
3,2,left,False,0.0,0,0,1,0,0
3,3,right,False,0.0,0,0,0,0,0
3,4,down,False,0.0,0,0,0,0,0
3,5,right,False,0.0,0,0,0,0,0
3,6,up,False,0.0,0,0,0,0,0
3,7,down,False,0.0,0,0,0,1,0
3,8,down,False,0.0,0,1,0,2,0
3,9,down,True,0.0,0,2,0,3,0
4,1,up,False,0.0,0,0,0,0,1
4,2,down,False,0.0,0,0,1,0,2
4,3,down,False,0.0,0,0,2,0,1
4,4,right,False,0.0,0,0,1,0,2
4,5,right,False,0.0,0,0,2,0,2
4,6,right,False,0.0,0,0,2,0,2
4,7,left,False,0.0,0,0,2,1,2
4,8,right,False,0.0,0,1,2,2,2
4,9,left,False,0.0,0,2,2,1,2
4,10,right,False,0.0,0,1,2,2,2
4,11,up,False,0.0,0,2,2,2,1
4,12,up,True,0.0,0,2,1,1,1
5,1,right,False,0.0,0,0,0,0,0
5,2,up,False,0.0,0,0,0,0,0
5,3,down,False,0.0,0,0,0,0,0
5,4,left,False,0.0,0,0,0,1,0
5,5,up,False,0.0,0,1,0,1,0
5,6,down,False,0.0,0,1,0,2,0
5,7,down,True,0.0,0,2,0,3,0
6,1,up,False,0.0,0,0,0,0,0
6,2,left,False,0.0,0,0,0,0,0
6,3,left,False,0.0,0,0,0,0,0
6,4,right,False,0.0,0,0,0,1,0
6,5,up,False,0.0,0,1,0,0,0
6,6,left,False,0.0,0,0,0,1,0
6,7,left,False,0.0,0,1,0,0,0
6,8,down,False,0.0,0,0,0,0,1
6,9,up,False,0.0,0,0,1,0,1
6,10,up,False,0.0,0,0,1,0,1
6,11,right,True,0.0,0,0,1,1,1
7,1,up,False,0.0,0,0,0,0,0
7,2,down,False,0.0,0,0,0,1,0
7,3,right,False,0.0,0,1,0,0,0
7,4,down,False,0.0,0,0,0,0,0
7,5,right,False,0.0,0,0,0,1,0
7,6,down,False,0.0,0,1,0,1,0
7,7,up,False,0.0,0,1,0,0,0
7,8,down,False,0.0,0,0,0,1,0
7,9,up,True,0.0,0,1,0,1,1
8,1,up,False,0.0,0,0,1,0,1
8,2,down,False,0.0,0,0,1,0,2
8,3,right,False,0.0,0,0,2,0,2
8,4,right,False,0.0,0,0,2,0,3
8,5,right,True,0.0,0,0,3,1,3
9,1,down,False,0.0,0,0,0,0,0
9,2,right,False,0.0,0,0,0,1,0
9,3,right,True,0.0,0,1,0,1,1
10,1,left,False,0.0,0,0,0,1,0
10,2,down,True,0.0,0,1,0,1,1
11,1,down,False,0.0,0,0,1,0,0
11,2,right,False,0.0,0,0,0,0,0
11,3,left,False,0.0,0,0,0,0,0
11,4,right,False,0.0,0,0,0,0,0
11,5,left,False,0.0,0,0,0,0,0
11,6,down,False,0.0,0,0,0,0,1
11,7,down,True,0.0,0,0,1,1,1
12,1,up,False,0.0,0,0,0,0,1
12,2,right,True,0.0,0,0,1,1,1
13,1,right,False,0.0,0,0,1,0,2
13,2,left,False,0.0,0,0,2,0,2
13,3,down,False,0.0,0,0,2,0,1
13,4,up,False,0.0,0,0,1,0,2
13,5,down,False,0.0,0,0,2,0,3
13,6,up,False,0.0,0,0,3,0,3
13,7,left,False,0.0,0,0,3,0,3
13,8,up,False,0.0,0,0,3,0,3
13,9,left,False,0.0,0,0,3,0,3
13,10,down,True,0.0,0,0,3,1,3
14,1,right,False,0.0,0,0,1,0,2
14,2,left,False,0.0,0,0,2,0,2
